Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
430,0,0,0,0,50,0,0,0
430,9,0,0,0,8100,8100,0,0
430,10,0,0,0,10950,10950,0,0
430,11,0,0,0,11150,11150,0,0
430,12,0,0,0,11450,11450,0,0
430,13,0,0,0,12300,12300,0,0
430,14,0,0,0,12350,12350,0,0
430,15,0,0,0,12700,12700,0,0
430,16,0,0,0,21750,21750,0,0
430,17,0,0,0,22000,22000,0,0
430,18,0,0,0,22100,22100,0,0
430,19,0,0,0,22400,22400,0,0
430,20,0,0,0,28900,28900,0,0
430,20,1,0,0,29600,28900,0,0
430,20,2,0,0,32450,28900,0,0
430,21,2,0,0,32500,32500,0,0
430,23,2,0,0,32650,32650,0,0
430,26,2,0,0,32950,32950,0,0
430,27,2,0,0,33200,33200,0,0
430,28,2,0,0,33300,33300,0,0
430,29,2,0,0,34100,34100,0,0
430,29,3,0,0,34500,34100,0,0
430,29,4,0,0,36000,34100,0,0
430,30,4,0,0,36050,36050,0,0
430,31,4,0,0,36450,36450,0,0
430,31,5,0,0,36950,36450,0,0
430,31,6,0,0,37550,36450,0,0
430,31,7,0,0,38650,36450,0,0
430,32,7,0,0,39700,39700,0,0
430,33,7,0,0,39850,39850,0,0
430,33,8,0,0,40150,39850,0,0
430,34,8,0,0,40200,40200,0,0
430,36,8,0,0,40250,40250,0,0
430,36,9,0,0,40750,40250,0,0
430,37,9,0,0,41000,41000,0,0
430,37,10,0,0,41400,41000,0,0
430,37,11,0,0,43150,41000,0,0
430,38,11,0,0,43250,43250,0,0
430,39,11,0,0,43300,43300,0,0
430,40,11,0,0,43350,43350,0,0
430,41,11,0,0,43400,43400,0,0
430,42,11,0,0,43700,43700,0,0
430,43,11,0,0,43850,43850,0,0
430,44,11,0,0,44250,44250,0,0
430,44,12,0,0,44500,44250,0,0
430,45,12,0,0,46850,46850,0,0
430,46,12,0,0,47050,47050,0,0
430,47,12,0,0,49350,49350,0,0
430,48,12,0,0,50600,50600,0,0
430,49,12,0,0,50950,50950,0,0
430,50,12,0,0,52050,52050,0,0
430,51,12,0,0,53650,53650,0,0
430,52,12,0,0,54050,54050,0,0
430,53,12,0,0,54400,54400,0,0
430,55,12,0,0,54650,54650,0,0
430,56,12,0,0,54900,54900,0,0
430,56,13,0,0,55150,54900,0,0
430,57,13,0,0,55450,55450,0,0
430,58,13,0,0,55500,55500,0,0
430,59,13,0,0,57600,57600,0,0
430,59,14,0,0,57650,57600,0,0
430,60,14,0,0,57750,57750,0,0
430,61,14,0,0,57900,57900,0,0
430,61,15,0,0,58000,57900,0,0
430,61,16,0,0,58650,57900,0,0
430,61,17,0,0,58700,57900,0,0
430,62,17,0,0,61450,61450,0,0
430,63,17,0,0,61550,61550,0,0
430,63,18,0,0,61650,61550,0,0
430,63,19,0,0,62100,61550,0,0
430,65,19,0,0,62150,62150,0,0
430,66,19,0,0,62250,62250,0,0
430,68,19,0,0,62900,62900,0,0
430,68,20,0,0,63900,62900,0,0
430,69,20,0,0,64000,64000,0,0
430,69,21,0,0,64500,64000,0,0
430,70,21,0,0,64850,64850,0,0
430,71,21,0,0,65650,65650,0,0
430,71,22,0,0,68400,65650,0,0
430,72,22,0,0,68450,68450,0,0
430,73,22,0,0,69300,69300,0,0
430,73,23,0,0,69450,69300,0,0
430,74,23,0,0,69900,69900,0,0
430,75,23,0,0,69950,69950,0,0
430,76,23,0,0,70150,70150,0,0
430,77,23,0,0,72050,72050,0,0
430,78,23,0,0,72200,72200,0,0
430,79,23,0,0,72750,72750,0,0
430,79,23,1,0,72800,72750,72800,0
430,80,23,1,0,72950,72950,72800,0
430,80,24,1,0,73250,72950,72800,0
430,80,25,1,0,73650,72950,72800,0
430,80,25,2,0,75650,72950,75650,0
430,80,26,2,0,76100,72950,75650,0
430,80,27,2,0,77550,72950,75650,0
430,80,27,2,1,77700,72950,75650,77700
430,81,27,2,1,78900,78900,75650,77700
430,81,27,3,1,79200,78900,79200,77700
430,82,27,3,1,79450,79450,79200,77700
430,82,28,3,1,79550,79450,79200,77700
430,82,29,3,1,80100,79450,79200,77700
430,82,29,4,1,80150,79450,80150,77700
430,83,29,4,1,80200,80200,80150,77700
430,84,29,4,1,80500,80500,80150,77700
430,84,29,5,1,80750,80500,80750,77700
430,84,30,5,1,80900,80500,80750,77700
430,84,30,6,1,81850,80500,81850,77700
430,84,31,6,1,82100,80500,81850,77700
430,85,31,6,1,82900,82900,81850,77700
430,86,31,6,1,83000,83000,81850,77700
430,86,31,7,1,83350,83000,83350,77700
430,87,31,7,1,83450,83450,83350,77700
430,87,32,7,1,83700,83450,83350,77700
430,87,32,8,1,83950,83450,83950,77700
430,87,33,8,1,84450,83450,83950,77700
430,87,33,9,1,84600,83450,84600,77700
430,87,34,9,1,85000,83450,84600,77700
430,87,35,9,1,85200,83450,84600,77700
430,87,36,9,1,85300,83450,84600,77700
430,87,36,10,1,86350,83450,86350,77700
430,87,37,10,1,86600,83450,86350,77700
430,87,38,10,1,87200,83450,86350,77700
430,87,39,10,1,87500,83450,86350,77700
430,87,39,11,1,87700,83450,87700,77700
430,88,39,11,1,88950,88950,87700,77700
430,88,40,11,1,89200,88950,87700,77700
430,89,40,11,1,89350,89350,87700,77700
430,90,40,11,1,90100,90100,87700,77700
430,91,40,11,1,90850,90850,87700,77700
430,91,41,11,1,91050,90850,87700,77700
430,91,42,11,1,91500,90850,87700,77700
430,92,42,11,1,92100,92100,87700,77700
430,92,43,11,1,93600,92100,87700,77700
430,92,44,11,1,94000,92100,87700,77700
430,93,44,11,1,94350,94350,87700,77700
430,93,45,11,1,95450,94350,87700,77700
430,93,46,11,1,95550,94350,87700,77700
430,94,46,11,1,95650,95650,87700,77700
430,94,47,11,1,96300,95650,87700,77700
430,94,48,11,1,96650,95650,87700,77700
430,94,49,11,1,96950,95650,87700,77700
430,96,49,11,1,97250,97250,87700,77700
430,97,49,11,1,97800,97800,87700,77700
430,97,50,11,1,98050,97800,87700,77700
430,97,51,11,1,98300,97800,87700,77700
430,97,51,12,1,98350,97800,98350,77700
430,98,51,12,1,99000,99000,98350,77700
430,98,53,12,1,99500,99000,98350,77700
430,98,53,13,1,100850,99000,100850,77700
430,99,53,13,1,101100,101100,100850,77700
430,99,53,14,1,101200,101100,101200,77700
430,99,53,15,1,101850,101100,101850,77700
430,99,53,16,1,101900,101100,101900,77700
430,100,53,16,1,102350,102350,101900,77700
430,101,53,16,1,103200,103200,101900,77700
430,101,54,16,1,104050,103200,101900,77700
430,102,54,16,1,104550,104550,101900,77700
430,103,54,16,1,104750,104750,101900,77700
430,103,54,17,1,104850,104750,104850,77700
430,104,54,18,1,105300,105300,105300,77700
430,104,55,18,1,105650,105300,105300,77700
430,104,55,19,1,107100,105300,107100,77700
430,104,55,20,1,107700,105300,107700,77700
430,105,55,20,1,108400,108400,107700,77700
430,106,55,20,1,108450,108450,107700,77700
430,106,56,20,1,108950,108450,107700,77700
430,107,56,20,1,109100,109100,107700,77700
430,108,56,20,1,109200,109200,107700,77700
430,109,56,20,1,111450,111450,107700,77700
430,109,56,21,1,111600,111450,111600,77700
430,109,58,21,1,111700,111450,111600,77700
430,110,58,21,1,111800,111800,111600,77700
430,111,58,21,1,112050,112050,111600,77700
430,111,58,21,2,112650,112050,111600,112650
430,112,58,21,2,112800,112800,111600,112650
430,113,58,21,2,113050,113050,111600,112650
430,114,58,21,2,113700,113700,111600,112650
430,114,59,21,2,115000,113700,111600,112650
430,114,60,21,2,115200,113700,111600,112650
430,115,60,21,2,115400,115400,111600,112650
430,116,60,21,2,115450,115450,111600,112650
430,117,60,21,2,116100,116100,111600,112650
430,117,60,22,2,116450,116100,116450,112650
430,117,60,23,2,116850,116100,116850,112650
430,118,60,23,2,117000,117000,116850,112650
430,118,60,24,2,119300,117000,119300,112650
430,118,61,24,2,120650,117000,119300,112650
430,118,61,25,2,120750,117000,120750,112650
430,118,62,25,2,121550,117000,120750,112650
430,118,62,26,2,122750,117000,122750,112650
430,118,63,26,2,122800,117000,122750,112650
430,118,63,27,2,123300,117000,123300,112650
430,119,63,27,2,123600,123600,123300,112650
430,120,63,27,2,123850,123850,123300,112650
430,120,64,27,2,123950,123850,123300,112650
430,120,64,28,2,124100,123850,124100,112650
430,120,65,28,2,125250,123850,124100,112650
430,120,65,29,2,125300,123850,125300,112650
430,120,66,30,2,126900,123850,126900,112650
430,121,66,30,2,126950,126950,126900,112650
430,121,67,30,2,127550,126950,126900,112650
430,121,67,31,2,127650,126950,127650,112650
430,122,67,31,2,127750,127750,127650,112650
430,122,67,32,2,128200,127750,128200,112650
430,123,67,33,2,128400,128400,128400,112650
430,123,67,34,2,128500,128400,128500,112650
430,124,67,34,2,129650,129650,128500,112650
430,124,67,35,2,129800,129650,129800,112650
430,125,67,35,2,130000,130000,129800,112650
430,126,67,35,2,130300,130300,129800,112650
430,126,67,36,2,130400,130300,130400,112650
