Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
430,0,0,0,0,50,0,0,0
430,4,0,0,0,19600,19600,0,0
430,5,0,0,0,26000,26000,0,0
430,6,0,0,0,47250,47250,0,0
430,7,0,0,0,47550,47550,0,0
430,7,1,0,0,50850,47550,0,0
430,7,2,0,0,55550,47550,0,0
430,8,2,0,0,64850,64850,0,0
430,9,2,0,0,65000,65000,0,0
430,10,2,0,0,74450,74450,0,0
430,11,2,0,0,77250,77250,0,0
430,12,2,0,0,79000,79000,0,0
430,12,3,0,0,82150,79000,0,0
430,13,3,0,0,87250,87250,0,0
430,13,4,0,0,88950,87250,0,0
430,13,4,1,0,94050,87250,94050,0
430,13,4,1,1,98750,87250,94050,98750
430,14,4,1,1,99550,99550,94050,98750
430,15,4,1,1,100650,100650,94050,98750
430,17,4,1,1,101300,101300,94050,98750
430,18,4,1,1,101400,101400,94050,98750
430,19,4,1,1,106250,106250,94050,98750
430,20,4,1,1,110050,110050,94050,98750
430,21,4,1,1,116150,116150,94050,98750
430,22,4,1,1,120350,120350,94050,98750
430,23,4,1,1,120450,120450,94050,98750
430,24,4,1,1,122600,122600,94050,98750
430,25,4,1,1,123100,123100,94050,98750
430,25,5,1,1,124650,123100,94050,98750
430,26,6,1,1,125100,125100,94050,98750
430,26,6,2,1,125350,125100,125350,98750
430,26,7,2,1,125450,125100,125350,98750
430,27,7,2,1,126500,126500,125350,98750
430,27,8,2,1,127800,126500,125350,98750
430,28,8,2,1,129850,129850,125350,98750
430,29,8,2,1,131000,131000,125350,98750
430,30,8,2,1,131200,131200,125350,98750
430,30,8,3,1,132150,131200,132150,98750
430,31,8,3,1,137550,137550,132150,98750
430,31,9,3,1,137800,137550,132150,98750
430,32,9,3,1,138400,138400,132150,98750
430,33,9,3,1,141800,141800,132150,98750
430,34,9,3,1,144800,144800,132150,98750
430,35,9,3,1,144950,144950,132150,98750
430,36,9,3,1,145550,145550,132150,98750
430,37,9,3,1,147700,147700,132150,98750
430,38,9,3,1,148200,148200,132150,98750
430,39,9,3,1,148900,148900,132150,98750
430,41,9,3,1,152550,152550,132150,98750
430,42,9,3,1,152650,152650,132150,98750
430,43,9,3,1,153900,153900,132150,98750
430,43,10,3,1,154150,153900,132150,98750
430,44,10,3,1,155000,155000,132150,98750
430,45,10,3,1,155250,155250,132150,98750
430,45,11,3,1,155800,155250,132150,98750
430,45,12,3,1,156300,155250,132150,98750
430,46,12,3,1,157350,157350,132150,98750
430,47,12,3,1,158700,158700,132150,98750
430,47,13,3,1,159250,158700,132150,98750
430,47,14,3,1,161450,158700,132150,98750
430,48,14,3,1,163000,163000,132150,98750
430,49,14,3,1,163150,163150,132150,98750
430,49,15,3,1,164750,163150,132150,98750
430,50,15,3,1,165750,165750,132150,98750
430,50,16,3,1,166150,165750,132150,98750
430,51,16,3,1,166500,166500,132150,98750
430,52,16,3,1,166750,166750,132150,98750
430,52,16,4,1,167850,166750,167850,98750
430,52,16,5,1,168300,166750,168300,98750
430,52,16,6,1,168650,166750,168650,98750
430,52,17,6,1,168700,166750,168650,98750
430,53,17,6,1,169250,169250,168650,98750
430,53,17,7,1,171000,169250,171000,98750
430,53,18,7,1,171050,169250,171000,98750
430,54,18,7,1,174550,174550,171000,98750
430,55,18,7,1,180150,180150,171000,98750
430,56,18,7,1,180300,180300,171000,98750
430,56,18,8,1,181000,180300,181000,98750
430,56,19,8,1,187600,180300,181000,98750
430,57,19,8,1,188050,188050,181000,98750
430,57,20,8,1,191200,188050,181000,98750
430,58,20,8,1,191300,191300,181000,98750
430,58,21,8,1,193400,191300,181000,98750
430,59,21,8,1,193950,193950,181000,98750
430,60,21,8,1,195150,195150,181000,98750
430,61,21,8,1,195400,195400,181000,98750
430,61,22,8,1,196600,195400,181000,98750
430,61,22,9,1,197350,195400,197350,98750
430,61,23,9,1,197450,195400,197350,98750
430,61,24,9,1,197700,195400,197350,98750
430,61,25,9,1,197900,195400,197350,98750
430,62,25,9,1,198350,198350,197350,98750
430,62,26,9,1,198850,198350,197350,98750
430,62,26,10,1,199000,198350,199000,98750
430,63,26,10,1,199050,199050,199000,98750
430,63,26,11,1,199500,199050,199500,98750
430,63,27,11,1,201100,199050,199500,98750
430,63,27,12,1,202450,199050,202450,98750
430,63,27,13,1,204650,199050,204650,98750
430,63,28,13,1,207550,199050,204650,98750
430,64,28,13,1,207600,207600,204650,98750
430,64,28,14,1,207950,207600,207950,98750
430,65,28,14,1,209200,209200,207950,98750
430,65,28,15,1,209350,209200,209350,98750
430,66,28,15,1,210100,210100,209350,98750
430,67,28,15,1,210300,210300,209350,98750
430,67,29,15,1,211550,210300,209350,98750
430,67,29,16,1,211900,210300,211900,98750
430,68,29,16,1,212950,212950,211900,98750
430,68,29,16,2,214250,212950,211900,214250
430,69,29,16,2,214700,214700,211900,214250
430,70,29,16,2,215150,215150,211900,214250
430,72,29,16,2,216750,216750,211900,214250
430,73,29,16,2,217000,217000,211900,214250
430,73,30,16,2,217550,217000,211900,214250
430,74,30,16,2,218750,218750,211900,214250
430,74,31,16,2,219350,218750,211900,214250
430,76,31,16,2,219650,219650,211900,214250
430,78,31,16,2,220000,220000,211900,214250
430,79,31,16,2,220700,220700,211900,214250
430,80,31,16,2,223450,223450,211900,214250
430,81,31,16,2,223550,223550,211900,214250
430,81,32,16,2,223700,223550,211900,214250
430,82,32,16,2,225300,225300,211900,214250
430,83,32,16,2,225950,225950,211900,214250
430,84,32,16,2,226850,226850,211900,214250
430,85,32,16,2,227600,227600,211900,214250
430,86,32,16,2,227950,227950,211900,214250
430,87,32,16,2,228300,228300,211900,214250
430,88,32,16,2,230650,230650,211900,214250
430,88,32,17,2,230800,230650,230800,214250
430,89,32,17,2,231250,231250,230800,214250
430,89,33,17,2,231450,231250,230800,214250
430,90,33,17,2,231500,231500,230800,214250
430,91,33,17,2,232950,232950,230800,214250
430,92,33,17,2,234200,234200,230800,214250
430,92,33,17,3,234400,234200,230800,234400
430,93,33,17,3,235250,235250,230800,234400
430,94,33,17,3,235600,235600,230800,234400
430,94,33,18,3,236600,235600,236600,234400
430,96,33,18,3,238100,238100,236600,234400
430,96,34,18,3,239200,238100,236600,234400
430,97,34,18,3,239550,239550,236600,234400
430,97,34,19,3,239800,239550,239800,234400
430,97,35,19,3,239850,239550,239800,234400
430,97,35,20,3,240650,239550,240650,234400
430,97,35,21,3,240900,239550,240900,234400
430,97,35,22,3,241100,239550,241100,234400
430,97,36,22,3,241500,239550,241100,234400
