Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
215,0,0,0,0,50,0,0,0
215,2,0,0,0,14200,14200,0,0
215,3,0,0,0,22900,22900,0,0
215,4,0,0,0,34600,34600,0,0
215,5,0,0,0,39800,39800,0,0
215,6,0,0,0,40750,40750,0,0
215,7,0,0,0,50600,50600,0,0
215,8,0,0,0,54300,54300,0,0
215,9,0,0,0,80400,80400,0,0
215,10,0,0,0,90050,90050,0,0
215,11,0,0,0,93650,93650,0,0
215,11,1,0,0,106900,93650,0,0
215,11,2,0,0,128650,93650,0,0
215,12,2,0,0,140450,140450,0,0
215,12,2,1,0,150100,140450,150100,0
215,12,3,1,0,154000,140450,150100,0
215,13,3,1,0,158600,158600,150100,0
215,14,3,1,0,169600,169600,150100,0
215,14,3,2,0,171850,169600,171850,0
215,14,4,2,0,173600,169600,171850,0
215,15,4,2,0,175600,175600,171850,0
215,16,4,2,0,180100,180100,171850,0
215,17,4,2,0,184500,184500,171850,0
215,18,4,2,0,188250,188250,171850,0
215,19,4,2,0,191600,191600,171850,0
215,20,4,2,0,195000,195000,171850,0
215,20,4,2,1,197200,195000,171850,197200
215,21,4,2,1,197450,197450,171850,197200
215,22,4,2,1,201800,201800,171850,197200
215,22,5,2,1,209500,201800,171850,197200
215,23,5,2,1,209900,209900,171850,197200
215,24,5,2,1,213250,213250,171850,197200
215,24,6,2,1,213650,213250,171850,197200
215,25,6,2,1,213700,213700,171850,197200
215,25,6,3,1,216800,213700,216800,197200
215,26,6,3,1,219650,219650,216800,197200
215,27,6,3,1,226250,226250,216800,197200
215,28,6,3,1,226800,226800,216800,197200
215,29,6,3,1,228000,228000,216800,197200
215,30,6,3,1,228100,228100,216800,197200
215,32,6,3,1,228250,228250,216800,197200
215,33,6,3,1,228500,228500,216800,197200
215,34,6,3,1,229500,229500,216800,197200
215,35,6,3,1,230150,230150,216800,197200
215,36,6,3,1,230500,230500,216800,197200
215,37,6,3,1,231150,231150,216800,197200
215,38,6,3,1,232350,232350,216800,197200
215,39,6,3,1,232700,232700,216800,197200
215,40,6,3,1,234100,234100,216800,197200
215,42,6,3,1,234350,234350,216800,197200
215,43,6,3,1,235300,235300,216800,197200
215,44,6,3,1,237600,237600,216800,197200
215,45,6,3,1,242100,242100,216800,197200
215,46,6,3,1,243200,243200,216800,197200
215,46,7,3,1,245000,243200,216800,197200
215,46,8,3,1,251650,243200,216800,197200
215,47,9,3,1,251900,251900,216800,197200
215,47,9,4,1,252700,251900,252700,197200
215,48,9,4,1,253200,253200,252700,197200
215,48,10,4,1,254150,253200,252700,197200
215,48,11,4,1,255050,253200,252700,197200
215,49,11,4,1,256200,256200,252700,197200
215,49,11,4,2,256850,256200,252700,256850
215,50,11,4,2,257050,257050,252700,256850
215,50,12,4,2,257650,257050,252700,256850
215,50,13,4,2,260200,257050,252700,256850
215,51,13,4,2,260850,260850,252700,256850
215,52,13,4,2,261250,261250,252700,256850
215,52,14,4,2,262700,261250,252700,256850
215,52,15,4,2,265200,261250,252700,256850
215,54,15,4,2,266100,266100,252700,256850
215,55,15,4,2,266600,266600,252700,256850
215,55,16,4,2,270150,266600,252700,256850
215,56,16,4,2,272150,272150,252700,256850
215,57,16,4,2,273800,273800,252700,256850
215,57,17,4,2,276650,273800,252700,256850
215,57,18,4,2,286700,273800,252700,256850
215,57,19,4,2,286800,273800,252700,256850
215,57,19,5,2,288200,273800,288200,256850
215,58,19,5,2,288550,288550,288200,256850
215,58,20,5,2,290700,288550,288200,256850
215,59,20,5,2,290800,290800,288200,256850
215,59,20,6,2,294850,290800,294850,256850
215,59,20,7,2,295100,290800,295100,256850
215,60,20,7,2,295400,295400,295100,256850
215,60,20,8,2,297350,295400,297350,256850
215,60,22,8,2,297650,295400,297350,256850
215,60,22,9,2,298250,295400,298250,256850
215,61,22,9,2,298800,298800,298250,256850
215,62,22,9,2,299150,299150,298250,256850
215,62,22,10,2,300850,299150,300850,256850
215,62,22,11,2,303400,299150,303400,256850
