Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
430,0,0,0,0,50,0,0,0
430,5,0,0,0,18600,18600,0,0
430,6,0,0,0,20600,20600,0,0
430,7,0,0,0,25450,25450,0,0
430,8,0,0,0,29200,29200,0,0
430,8,1,0,0,39350,29200,0,0
430,9,1,0,0,46100,46100,0,0
430,10,1,0,0,54050,54050,0,0
430,10,2,0,0,56500,54050,0,0
430,10,3,0,0,57500,54050,0,0
430,10,4,0,0,64750,54050,0,0
430,11,4,0,0,66250,66250,0,0
430,11,5,0,0,76150,66250,0,0
430,12,5,0,0,80800,80800,0,0
430,12,5,1,0,82550,80800,82550,0
430,13,5,1,0,83250,83250,82550,0
430,13,6,1,0,94500,83250,82550,0
430,13,7,1,0,99400,83250,82550,0
430,13,7,2,0,99700,83250,99700,0
430,13,7,3,0,100700,83250,100700,0
430,14,7,3,0,105400,105400,100700,0
430,14,7,4,0,107950,105400,107950,0
430,15,7,4,0,110000,110000,107950,0
430,16,7,4,0,114350,114350,107950,0
430,16,7,5,0,119350,114350,119350,0
430,17,7,5,0,121150,121150,119350,0
430,17,8,5,0,121350,121150,119350,0
430,18,8,5,0,128500,128500,119350,0
430,19,8,5,0,132750,132750,119350,0
430,19,8,6,0,137700,132750,137700,0
430,19,9,6,0,138000,132750,137700,0
430,19,9,7,0,142600,132750,142600,0
430,19,10,7,0,143250,132750,142600,0
430,20,10,7,0,154950,154950,142600,0
430,21,10,7,0,159050,159050,142600,0
430,22,10,7,0,160900,160900,142600,0
430,22,10,8,0,164550,160900,164550,0
430,22,11,8,0,169000,160900,164550,0
430,23,11,8,0,170050,170050,164550,0
430,24,11,8,0,170300,170300,164550,0
430,25,11,8,0,170650,170650,164550,0
430,26,11,8,0,173350,173350,164550,0
430,27,11,8,0,173850,173850,164550,0
430,27,12,8,0,177750,173850,164550,0
430,28,12,8,0,179000,179000,164550,0
430,29,12,8,0,180300,180300,164550,0
430,29,13,8,0,180700,180300,164550,0
430,29,13,9,0,181200,180300,181200,0
430,29,13,10,0,186450,180300,186450,0
430,30,13,10,0,187350,187350,186450,0
430,31,13,10,0,188700,188700,186450,0
430,32,13,10,0,191900,191900,186450,0
430,33,13,10,0,194050,194050,186450,0
430,34,13,10,0,194600,194600,186450,0
430,34,14,10,0,196200,194600,186450,0
430,35,14,10,0,198150,198150,186450,0
430,36,14,10,0,202700,202700,186450,0
430,36,15,10,0,204550,202700,186450,0
430,37,15,10,0,207050,207050,186450,0
430,37,16,10,0,208650,207050,186450,0
430,38,16,10,0,208900,208900,186450,0
430,38,16,11,0,212200,208900,212200,0
430,39,16,11,0,216350,216350,212200,0
430,39,16,12,0,220950,216350,220950,0
430,41,16,12,0,223450,223450,220950,0
430,41,16,13,0,223900,223450,223900,0
430,42,16,13,0,225800,225800,223900,0
430,43,16,13,0,228100,228100,223900,0
430,44,16,13,0,228500,228500,223900,0
430,44,17,13,0,228600,228500,223900,0
430,45,17,13,0,230450,230450,223900,0
430,45,18,13,0,230850,230450,223900,0
430,46,18,13,0,231450,231450,223900,0
430,47,18,13,0,231750,231750,223900,0
430,47,19,13,0,233750,231750,223900,0
430,48,19,13,0,234100,234100,223900,0
430,49,19,13,0,235650,235650,223900,0
430,49,20,13,0,236550,235650,223900,0
430,49,21,13,0,236700,235650,223900,0
430,49,22,13,0,237450,235650,223900,0
430,51,22,13,0,237650,237650,223900,0
430,52,22,13,0,238500,238500,223900,0
430,53,22,13,0,238850,238850,223900,0
430,54,23,13,0,239000,239000,223900,0
430,54,24,13,0,239300,239000,223900,0
430,54,24,14,0,239400,239000,239400,0
430,55,24,14,0,241700,241700,239400,0
430,55,25,14,0,243850,241700,239400,0
430,55,26,14,0,244750,241700,239400,0
430,55,27,14,0,245050,241700,239400,0
430,56,27,14,0,245150,245150,239400,0
430,56,28,14,0,247050,245150,239400,0
430,57,28,14,0,247150,247150,239400,0
430,57,28,15,0,247750,247150,247750,0
430,58,28,15,0,248500,248500,247750,0
430,58,29,15,0,251250,248500,247750,0
430,58,29,16,0,251850,248500,251850,0
430,58,30,16,0,254150,248500,251850,0
430,59,30,16,0,257000,257000,251850,0
430,59,31,16,0,264300,257000,251850,0
430,59,32,16,0,264350,257000,251850,0
430,60,32,16,0,266500,266500,251850,0
430,60,33,16,0,270400,266500,251850,0
430,60,33,17,0,271800,266500,271800,0
430,60,33,18,0,274050,266500,274050,0
430,61,33,18,0,275400,275400,274050,0
430,62,33,18,0,276150,276150,274050,0
430,62,33,19,0,276950,276150,276950,0
430,63,33,19,0,277800,277800,276950,0
430,63,34,19,0,279200,277800,276950,0
430,63,34,20,0,279750,277800,279750,0
430,63,35,20,0,279800,277800,279750,0
430,63,35,21,0,279900,277800,279900,0
430,63,35,22,0,280650,277800,280650,0
430,64,35,22,0,281300,281300,280650,0
430,64,35,23,0,282200,281300,282200,0
430,64,35,24,0,282500,281300,282500,0
430,64,35,25,0,287050,281300,287050,0
430,64,35,26,0,287950,281300,287950,0
430,64,35,27,0,288250,281300,288250,0
430,64,35,28,0,290250,281300,290250,0
430,64,36,28,0,291750,281300,290250,0
430,64,36,29,0,294450,281300,294450,0
430,64,36,30,0,297350,281300,297350,0
430,64,37,30,0,298400,281300,297350,0
430,65,37,30,0,299900,299900,297350,0
430,65,38,30,0,300150,299900,297350,0
430,66,38,30,0,307050,307050,297350,0
430,66,38,31,0,307500,307050,307500,0
430,66,38,32,0,307550,307050,307550,0
430,66,39,32,0,307900,307050,307550,0
430,67,39,32,0,308450,308450,307550,0
430,67,39,33,0,313600,308450,313600,0
430,68,39,33,0,315050,315050,313600,0
430,68,40,33,0,317450,315050,313600,0
430,69,40,33,0,322150,322150,313600,0
430,70,40,33,0,322300,322300,313600,0
430,71,40,34,0,322400,322400,322400,0
430,71,40,35,0,323000,322400,323000,0
430,72,40,35,0,323300,323300,323000,0
430,72,41,35,0,324150,323300,323000,0
430,73,41,35,0,325050,325050,323000,0
430,74,41,35,0,326400,326400,323000,0
430,75,41,35,0,327550,327550,323000,0
430,76,41,35,0,328800,328800,323000,0
430,76,42,35,0,334650,328800,323000,0
