Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
645,0,0,0,0,50,0,0,0
645,5,0,0,0,25600,25600,0,0
645,6,0,0,0,47100,47100,0,0
645,6,1,0,0,84550,47100,0,0
645,7,1,0,0,87200,87200,0,0
645,8,1,0,0,90900,90900,0,0
645,9,1,0,0,92600,92600,0,0
645,10,1,0,0,94850,94850,0,0
645,11,1,0,0,102550,102550,0,0
645,12,1,0,0,107150,107150,0,0
645,13,1,0,0,109400,109400,0,0
645,14,1,0,0,109500,109500,0,0
645,15,1,0,0,116950,116950,0,0
645,16,1,0,0,117550,117550,0,0
645,17,1,0,0,119600,119600,0,0
645,17,2,0,0,122900,119600,0,0
645,17,2,1,0,127750,119600,127750,0
645,17,3,1,0,130600,119600,127750,0
645,18,3,1,0,133500,133500,127750,0
645,18,4,1,0,135250,133500,127750,0
645,19,4,1,0,140150,140150,127750,0
645,20,4,1,0,146700,146700,127750,0
645,21,4,1,0,151900,151900,127750,0
645,21,5,1,0,152300,151900,127750,0
645,22,5,1,0,158000,158000,127750,0
645,23,5,1,0,158850,158850,127750,0
645,23,6,1,0,160500,158850,127750,0
645,23,6,2,0,166100,158850,166100,0
645,23,7,2,0,170400,158850,166100,0
645,23,7,3,0,173800,158850,173800,0
645,23,9,3,0,174200,158850,173800,0
645,23,9,4,0,178450,158850,178450,0
645,23,10,4,0,181150,158850,178450,0
645,23,11,4,0,181850,158850,178450,0
645,23,12,4,0,182150,158850,178450,0
645,23,12,5,0,195500,158850,195500,0
645,23,13,5,0,195650,158850,195500,0
645,24,13,5,0,196500,196500,195500,0
645,24,13,6,0,203700,196500,203700,0
645,25,13,6,0,208600,208600,203700,0
645,25,13,7,0,213600,208600,213600,0
645,26,13,7,0,216500,216500,213600,0
645,26,13,9,0,217400,216500,217400,0
645,27,13,9,0,219650,219650,217400,0
645,27,14,9,0,220050,219650,217400,0
645,28,14,9,0,221150,221150,217400,0
645,29,14,9,0,223500,223500,217400,0
645,29,14,10,0,224350,223500,224350,0
645,29,14,11,0,225050,223500,225050,0
645,29,14,12,0,225350,223500,225350,0
645,30,14,12,0,238400,238400,225350,0
645,30,14,13,0,238850,238400,238850,0
645,31,14,13,0,241250,241250,238850,0
645,32,14,13,0,241850,241850,238850,0
645,33,14,13,0,245100,245100,238850,0
645,34,14,13,0,245350,245350,238850,0
645,35,14,13,0,249250,249250,238850,0
645,36,14,13,0,249500,249500,238850,0
645,37,14,13,0,252850,252850,238850,0
645,38,14,13,0,257300,257300,238850,0
645,38,15,13,0,262850,257300,238850,0
645,38,15,14,0,263250,257300,263250,0
645,39,15,14,0,264250,264250,263250,0
645,40,15,14,0,266500,266500,263250,0
645,41,15,14,0,274500,274500,263250,0
645,41,16,14,0,278200,274500,263250,0
645,42,16,14,0,278650,278650,263250,0
645,43,16,14,0,279500,279500,263250,0
645,43,17,14,0,281450,279500,263250,0
645,43,18,14,0,282900,279500,263250,0
645,44,18,14,0,283100,283100,263250,0
645,44,19,14,0,284550,283100,263250,0
645,45,19,14,0,288850,288850,263250,0
645,46,19,14,0,294450,294450,263250,0
645,47,19,14,0,300350,300350,263250,0
645,48,19,14,0,301200,301200,263250,0
645,49,19,14,0,302050,302050,263250,0
645,49,20,14,0,304350,302050,263250,0
645,49,20,15,0,306050,302050,306050,0
645,50,20,15,0,306500,306500,306050,0
645,50,21,15,0,307300,306500,306050,0
645,50,22,15,0,307950,306500,306050,0
645,51,22,15,0,308750,308750,306050,0
645,52,22,15,0,309350,309350,306050,0
645,52,23,15,0,310250,309350,306050,0
645,52,24,15,0,313350,309350,306050,0
645,53,24,15,0,313850,313850,306050,0
