Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
215,0,0,0,0,50,0,0,0
215,3,0,0,0,25100,25100,0,0
215,4,0,0,0,83450,83450,0,0
215,5,0,0,0,102600,102600,0,0
215,6,0,0,0,116600,116600,0,0
215,7,0,0,0,147250,147250,0,0
215,7,1,0,0,147350,147250,0,0
215,8,1,0,0,186000,186000,0,0
215,9,1,0,0,188850,188850,0,0
215,9,1,1,0,190550,188850,190550,0
215,10,1,1,0,210200,210200,190550,0
215,11,1,1,0,216900,216900,190550,0
215,11,2,1,0,237800,216900,190550,0
215,11,3,1,0,244900,216900,190550,0
215,12,3,1,0,246200,246200,190550,0
215,12,4,1,0,250350,246200,190550,0
215,12,4,2,0,281000,246200,281000,0
215,12,4,3,0,288100,246200,288100,0
215,13,4,3,0,289400,289400,288100,0
215,13,4,4,0,293550,289400,293550,0
215,14,4,4,0,308600,308600,293550,0
215,14,5,4,0,310250,308600,293550,0
215,14,6,4,0,324000,308600,293550,0
215,15,6,4,0,351100,351100,293550,0
215,15,6,5,0,353450,351100,353450,0
215,16,6,5,0,366300,366300,353450,0
215,16,6,6,0,367200,366300,367200,0
215,17,6,6,0,371550,371550,367200,0
215,17,7,6,0,375100,371550,367200,0
215,18,7,6,0,377050,377050,367200,0
215,19,7,6,0,380850,380850,367200,0
215,20,7,6,0,394150,394150,367200,0
215,20,8,6,0,401100,394150,367200,0
215,20,9,6,0,417450,394150,367200,0
215,20,9,7,0,418300,394150,418300,0
215,20,10,7,0,434500,394150,418300,0
215,21,10,7,0,442900,442900,418300,0
215,21,10,8,0,444300,442900,444300,0
215,22,10,8,0,447450,447450,444300,0
215,22,11,8,0,451500,447450,444300,0
215,23,11,8,0,457400,457400,444300,0
215,23,11,9,0,460650,457400,460650,0
215,24,11,9,0,465400,465400,460650,0
215,25,11,9,0,475350,475350,460650,0
215,25,11,10,0,477700,475350,477700,0
215,26,11,10,0,486550,486550,477700,0
215,27,11,10,0,488100,488100,477700,0
215,27,12,10,0,493000,488100,477700,0
215,27,12,11,0,494700,488100,494700,0
215,28,12,11,0,498200,498200,494700,0
215,29,12,11,0,502100,502100,494700,0
215,30,12,11,0,506500,506500,494700,0
215,30,13,11,0,510950,506500,494700,0
215,31,13,11,0,511400,511400,494700,0
215,31,14,11,0,514600,511400,494700,0
215,32,14,11,0,521200,521200,494700,0
215,33,14,11,0,528350,528350,494700,0
215,34,14,11,0,530950,530950,494700,0
215,35,14,11,0,535500,535500,494700,0
215,35,14,12,0,536200,535500,536200,0
215,36,14,12,0,544000,544000,536200,0
215,36,15,12,0,544800,544000,536200,0
215,37,15,12,0,545650,545650,536200,0
215,37,15,13,0,554150,545650,554150,0
215,37,15,14,0,557800,545650,557800,0
215,38,15,14,0,559500,559500,557800,0
215,39,15,14,0,560300,560300,557800,0
215,39,16,14,0,562000,560300,557800,0
215,40,16,14,0,565350,565350,557800,0
215,41,16,14,0,572700,572700,557800,0
215,42,16,14,0,573950,573950,557800,0
215,43,16,14,0,576950,576950,557800,0
215,43,17,14,0,582150,576950,557800,0
215,45,17,14,0,583500,583500,557800,0
215,45,17,15,0,588000,583500,588000,0
215,45,18,15,0,589700,583500,588000,0
215,46,18,15,0,591400,591400,588000,0
215,46,19,15,0,591750,591400,588000,0
215,47,19,15,0,594100,594100,588000,0
215,48,19,15,0,596850,596850,588000,0
215,48,20,15,0,600750,596850,588000,0
215,48,21,15,0,600900,596850,588000,0
215,49,21,15,0,602450,602450,588000,0
215,49,21,16,0,605200,602450,605200,0
215,50,21,16,0,616950,616950,605200,0
215,51,21,16,0,619900,619900,605200,0
215,52,21,16,0,621900,621900,605200,0
215,52,22,16,0,622850,621900,605200,0
215,53,22,16,0,623100,623100,605200,0
215,53,23,16,0,624050,623100,605200,0
215,53,24,17,0,625350,623100,625350,0
215,53,25,17,0,626100,623100,625350,0
215,53,26,17,0,628450,623100,625350,0
215,54,26,17,0,630900,630900,625350,0
215,54,26,18,0,632900,630900,632900,0
215,55,26,18,0,634200,634200,632900,0
215,55,26,19,0,634950,634200,634950,0
215,55,27,19,0,639850,634200,634950,0
215,56,27,19,0,640200,640200,634950,0
215,57,27,19,0,641050,641050,634950,0
215,57,27,20,0,643950,641050,643950,0
215,57,27,21,0,644100,641050,644100,0
215,58,27,21,0,644700,644700,644100,0
215,59,27,21,0,645000,645000,644100,0
215,60,27,21,0,648700,648700,644100,0
215,61,27,21,0,649750,649750,644100,0
215,62,27,21,0,649900,649900,644100,0
215,63,27,21,0,654400,654400,644100,0
215,64,27,21,0,657850,657850,644100,0
215,64,28,21,0,658500,657850,644100,0
215,64,29,21,0,658600,657850,644100,0
215,65,29,21,0,658900,658900,644100,0
215,66,29,21,0,659300,659300,644100,0
215,67,29,21,0,664350,664350,644100,0
215,67,29,21,1,666050,664350,644100,666050
215,68,29,21,1,666100,666100,644100,666050
215,69,29,21,1,666200,666200,644100,666050
215,70,29,21,1,666550,666550,644100,666050
215,70,29,22,1,667250,666550,667250,666050
215,71,29,23,1,668550,668550,668550,666050
215,71,29,24,1,669300,668550,669300,666050
215,73,29,24,1,670650,670650,669300,666050
215,73,29,25,1,671650,670650,671650,666050
215,75,29,25,1,674150,674150,671650,666050
215,76,29,25,1,677400,677400,671650,666050
215,78,29,25,1,678450,678450,671650,666050
215,78,30,25,1,680150,678450,671650,666050
215,78,30,26,1,683050,678450,683050,666050
215,78,31,26,1,683100,678450,683050,666050
215,79,31,26,1,683750,683750,683050,666050
215,79,32,26,1,687050,683750,683050,666050
215,80,32,26,1,688500,688500,683050,666050
215,80,33,26,1,689100,688500,683050,666050
215,81,33,26,1,690400,690400,683050,666050
215,81,34,26,1,696650,690400,683050,666050
215,81,35,26,1,699050,690400,683050,666050
215,81,36,26,1,700900,690400,683050,666050
215,81,36,27,1,701700,690400,701700,666050
215,81,36,28,1,701800,690400,701800,666050
215,81,37,28,1,702850,690400,701800,666050
215,82,37,28,1,706850,706850,701800,666050
215,82,38,28,1,709300,706850,701800,666050
215,82,39,28,1,709500,706850,701800,666050
215,83,39,28,1,713300,713300,701800,666050
215,83,40,28,1,717600,713300,701800,666050
215,83,41,28,1,718750,713300,701800,666050
215,84,41,28,1,720050,720050,701800,666050
215,85,41,28,1,720300,720300,701800,666050
215,86,41,28,1,721600,721600,701800,666050
215,86,41,29,1,723350,721600,723350,666050
215,86,41,30,1,726300,721600,726300,666050
215,87,41,30,1,727200,727200,726300,666050
215,87,42,30,1,728150,727200,726300,666050
215,87,43,30,1,729100,727200,726300,666050
215,87,43,31,1,730250,727200,730250,666050
215,87,43,32,1,732300,727200,732300,666050
215,87,44,32,1,734200,727200,732300,666050
215,87,45,32,1,738950,727200,732300,666050
215,87,45,33,1,739850,727200,739850,666050
215,87,46,33,1,740700,727200,739850,666050
215,87,46,34,1,742250,727200,742250,666050
215,87,47,34,1,742900,727200,742250,666050
215,87,47,35,1,744100,727200,744100,666050
215,88,47,35,1,744300,744300,744100,666050
215,88,47,36,1,746050,744300,746050,666050
215,89,47,36,1,746300,746300,746050,666050
215,89,47,37,1,752500,746300,752500,666050
215,89,47,38,1,752700,746300,752700,666050
215,89,48,38,1,756350,746300,752700,666050
215,89,48,39,1,760800,746300,760800,666050
215,89,49,39,1,760900,746300,760800,666050
215,89,50,39,1,761700,746300,760800,666050
215,89,50,40,1,761950,746300,761950,666050
215,90,50,40,1,767400,767400,761950,666050
215,90,51,40,1,767900,767400,761950,666050
215,90,51,41,1,771350,767400,771350,666050
215,90,51,42,1,772300,767400,772300,666050
215,91,51,42,1,773050,773050,772300,666050
215,91,51,43,1,777400,773050,777400,666050
215,91,52,43,1,779750,773050,777400,666050
215,91,52,44,1,782150,773050,782150,666050
215,91,53,44,1,782200,773050,782150,666050
215,91,53,45,1,783900,773050,783900,666050
215,91,53,46,1,786100,773050,786100,666050
215,92,53,46,1,787900,787900,786100,666050
215,92,54,46,1,793150,787900,786100,666050
215,92,55,46,1,797350,787900,786100,666050
215,92,55,47,1,799550,787900,799550,666050
215,92,55,48,1,804100,787900,804100,666050
215,92,55,49,1,804900,787900,804900,666050
215,92,55,50,1,811100,787900,811100,666050
215,92,55,51,1,822950,787900,822950,666050
215,92,56,51,1,823100,787900,822950,666050
215,92,56,52,1,825400,787900,825400,666050
215,92,57,52,1,827500,787900,825400,666050
215,93,57,52,1,829000,829000,825400,666050
215,93,58,52,1,833500,829000,825400,666050
215,93,58,53,1,836350,829000,836350,666050
215,94,58,53,1,837000,837000,836350,666050
215,94,59,53,1,838650,837000,836350,666050
215,94,59,54,1,840550,837000,840550,666050
215,95,59,54,1,846450,846450,840550,666050
215,96,59,54,1,856750,856750,840550,666050
215,96,60,54,1,858700,856750,840550,666050
215,97,60,54,1,865400,865400,840550,666050
215,97,60,55,1,866300,865400,866300,666050
215,97,60,56,1,870700,865400,870700,666050
215,97,60,57,1,876700,865400,876700,666050
215,98,60,57,1,881750,881750,876700,666050
215,98,60,58,1,881850,881750,881850,666050
215,98,61,58,1,883650,881750,881850,666050
215,99,61,58,1,887950,887950,881850,666050
215,100,61,58,1,892250,892250,881850,666050
215,101,61,58,1,897050,897050,881850,666050
215,101,62,58,1,897750,897050,881850,666050
215,102,62,58,1,898100,898100,881850,666050
215,102,62,59,1,901900,898100,901900,666050
215,102,63,59,1,902600,898100,901900,666050
215,103,63,59,1,908500,908500,901900,666050
215,104,63,59,1,909600,909600,901900,666050
215,105,63,59,1,912500,912500,901900,666050
215,106,63,59,1,912850,912850,901900,666050
215,108,63,59,1,913300,913300,901900,666050
215,109,63,59,1,914500,914500,901900,666050
215,110,63,59,1,918850,918850,901900,666050
215,110,64,59,1,921000,918850,901900,666050
215,111,64,59,1,924250,924250,901900,666050
215,111,64,60,1,926850,924250,926850,666050
215,112,64,60,1,931800,931800,926850,666050
215,114,64,60,1,933200,933200,926850,666050
215,115,64,60,1,934600,934600,926850,666050
215,115,64,61,1,940950,934600,940950,666050
215,115,65,61,1,941600,934600,940950,666050
215,116,65,61,1,943850,943850,940950,666050
215,117,65,61,1,944350,944350,940950,666050
215,117,65,62,1,945800,944350,945800,666050
215,118,65,62,1,946950,946950,945800,666050
215,119,65,62,1,952600,952600,945800,666050
215,120,65,62,1,953350,953350,945800,666050
215,120,66,62,1,953550,953350,945800,666050
215,120,66,63,1,964200,953350,964200,666050
215,121,66,63,1,964250,964250,964200,666050
215,122,66,63,1,968200,968200,964200,666050
215,123,66,63,1,973700,973700,964200,666050
215,123,67,63,1,973800,973700,964200,666050
215,124,67,63,1,976250,976250,964200,666050
215,125,67,63,1,976350,976350,964200,666050
215,125,68,63,1,980400,976350,964200,666050
215,125,69,63,1,982150,976350,964200,666050
215,126,69,63,1,984300,984300,964200,666050
215,126,69,64,1,984800,984300,984800,666050
